,ME-1,ME-2,ME-3,ME_mean,ME_std
10:2FTCA,0.8324441599089487,0.8111573481291792,1.0741214966567079,0.905907668231612,0.11926217937526702
10:2FTOH,,,,,
10:2FTUCA,0.6773349111577286,0.6996934000322736,0.7928029691786348,0.7232770934562124,0.05000240695816944
3:3FTCA,0.09863158470144495,0.03002860735044915,,0.06433009602594705,0.0343014886754979
4:2FTOH,6.167466899461661,7.1766978676625115,,6.672082383562087,0.5046154841004253
4:2FTS,0.13340539409682875,0.14564410118725918,0.13746752907128784,0.1388390081184586,0.005089676079670775
5:2sFTOH,,,,,
5:3FTCA,0.4785720891519467,0.5212244520484602,0.7353925830019421,0.5783963747341163,0.11237040853955534
6:2/8:2diPAP,14.158963962100211,4.424241797343705,16.019653274856218,11.534286344766713,5.084623308198017
6:2diPAP,18.087873641999305,5.9372711091106245,21.0093090819813,15.011484611030411,6.526341970114305
6:2FTCA,0.741044273252108,0.5924347556866816,0.8975395654628567,0.7436728648005487,0.1245723841983324
6:2FTOH,,,,,
6:2FTS,0.43712988192552227,0.5047774750227066,0.49242506811989106,0.47811080835604,0.029413406664317902
6:2FTUCA,0.5595572959755851,0.52745757726178,0.6697736841137646,0.5855961857837099,0.060947990966102254
6:2PAP,,,,,
6:6PFPi,,,,,
6:8PFPi,,,,,
7:2sFTOH,,,,,
7:3FTCA,1.0952778396023444,1.1294791898508791,1.5447548037688257,1.2565039444073498,0.20430182171104558
8:2diPAP,9.031990092407355,3.9665999809469374,15.708983519100695,9.569191197484995,4.8088343396813995
8:2FTCA,0.8596795462345779,0.9180801676330858,1.3044310771509602,1.0273969303395412,0.19733828319171637
8:2FTOH,,,,,
8:2FTS,0.33714168081930934,0.4134287135676668,0.39750913488755085,0.3826931764248423,0.0328589136588919
8:2FTUCA,0.73207254073191,0.724829305299664,0.9251833387522127,0.7940283949279289,0.09278768087070256
8:2PAP,,,,,
8:8PFPi,,,,,
8Cl-PFOS,0.37662780391354744,0.4412115633735597,0.39605918047317107,0.4046328492534261,0.027054221405199353
Cl-PFHxPA,0.5682855807599669,0.7691339828162634,0.5498975446669303,0.6291057027477202,0.09929910836140637
Cl-PFOPA,0.18399082733168512,0.29463613887993123,0.40902576229890003,0.29588424283683884,0.09187436643424214
FOSA,0.5530178844418249,0.5872764444771886,0.7076234505369016,0.6159725931519717,0.06629892899320332
L-PFBS,233.08574488447337,272.26315909401626,235.27904115207582,246.87598171018848,17.973762706935204
L-PFDOS,475.8836397368865,577.5686625063249,532.9377804014168,528.7966942148761,41.615881664003965
L-PFDS,691.404766875435,803.5074286708422,760.4928844815589,751.801693342612,46.17650411168101
L-PFHpS,453.75239606338044,533.3803469199597,478.46881365380904,488.5338522123831,33.27793453419886
L-PFHxS,320.59173454898735,379.58564382333157,312.4690232419102,337.54880053807636,29.908936844878085
L-PFNS,659.3752242850343,757.7935296056245,715.4472518217437,710.8720019041342,40.309141968877384
L-PFOS,67.35982991914877,82.33438062921537,67.05957018977001,72.25126024604471,7.1308964594177695
L-PFPES,336.7276607428115,384.905276557508,348.9964307108626,356.87645600372736,20.442468301051846
"N,N-Me2FOSA",,,,,
N-EtFOSA,,,,,
N-EtFOSE,35.33384312063533,,,35.33384312063533,0.0
N-MeFOSA,,,,,
N-MeFOSE,34.170639014061564,,,34.170639014061564,0.0
PFBA,27.018763493621197,17.02476938174681,,22.021766437684004,4.996997055937193
PFDA,,,,,
PFDoA,,,,,
PFDPA,1.477819813805126,1.7783650458069065,1.6796669263009534,1.645283928637662,0.1250826447220302
PFHpA,382.0046381345605,462.28101638807544,440.53069353753256,428.2721160200561,33.89964373892776
PFHxA,298.0222979199579,332.2611736440232,322.7796866771985,317.6877194137265,14.434247484627189
PFHxDA,,,,,
PFHxPA,0.008625697537275335,0.014170788811238053,,0.011398243174256695,0.0027725456369813587
PFNA,448.41932879531424,538.6090549311382,538.5941427892986,508.54084217191695,42.51233023969057
PFOA,96.53039483797166,115.25086242336496,114.59679696855952,108.79268474329872,8.67485891130251
PFODA,745.0717999999999,579.4815,482.61178,602.38836,108.36622690640226
PFOPA,0.6154190704841078,0.9651700290249757,0.5132404056329953,0.6979431683806929,0.19350756432249738
PFPeA,,,,,
PFTeDA,,,,,
PFTrDA,,,,,
PFUdA,,,,,
